"profile","country","N","R0","alpha","gamma","rho","k","S_0","E_0","I_0","R_0","loglik","loglik.se"
"k","Guinea",10628972,1.22503670694997,0.619761102553862,1.00503358535015,0.2,0.181818181818182,0.999995836940291,1.24981597979498e-06,2.91324372891591e-06,0,-155.680380924143,0.0485421059356524
"k","Guinea",10628972,1.21718526864438,0.619761102553862,1.00503358535015,0.2,0.757575757575758,0.999995000332298,1.56061840768924e-06,3.43904929461873e-06,0,-155.752508780487,0.0179522212956769
"k","Guinea",10628972,1.21504961711129,0.619761102553862,1.00503358535015,0.2,0.767676767676768,0.999994937187332,1.45641839500186e-06,3.60639427252512e-06,0,-155.851498544105,0.0202506002471554
"k","Guinea",10628972,1.21518714576296,0.619761102553862,1.00503358535015,0.2,0.777777777777778,0.999995046569756,1.34138179116894e-06,3.61204845232205e-06,0,-155.975419360926,0.0194827364298973
"k","Guinea",10628972,1.21896965477975,0.619761102553862,1.00503358535015,0.2,0.787878787878788,0.99999501494436,1.24892371484121e-06,3.73613192526541e-06,0,-156.10368584933,0.0215113056174622
"k","Guinea",10628972,1.21371880060653,0.619761102553862,1.00503358535015,0.2,0.797979797979798,0.999994854501515,1.30950275089931e-06,3.83599573441381e-06,0,-156.216315128143,0.0221302746319374
"k","Guinea",10628972,1.22093713364581,0.619761102553862,1.00503358535015,0.2,0.171717171717172,0.999995929389853,1.05670679807891e-06,3.01390334874129e-06,0,-156.288037023763,0.0407349569604031
"k","Guinea",10628972,1.2171298489345,0.619761102553862,1.00503358535015,0.2,0.808080808080808,0.999995022872836,1.58692026303292e-06,3.39020690089007e-06,0,-156.359989121137,0.0152852797112152
"k","Guinea",10628972,1.21468591768486,0.619761102553862,1.00503358535015,0.2,0.818181818181818,0.999994972604947,1.2847670343199e-06,3.74262801871859e-06,0,-156.46503505597,0.0129540341187625
"k","Guinea",10628972,1.21306590021891,0.619761102553862,1.00503358535015,0.2,0.828282828282828,0.99999481779767,1.58040354508337e-06,3.6017987849947e-06,0,-156.606575285105,0.0201758706122374
"k","Guinea",10628972,1.21323980207797,0.619761102553862,1.00503358535015,0.2,0.838383838383838,0.999994770358946,1.21606825173309e-06,4.01357280186672e-06,0,-156.700752270624,0.0127615230663981
"k","Guinea",10628972,1.21469866488516,0.619761102553862,1.00503358535015,0.2,0.848484848484849,0.999994897361996,1.42524187156035e-06,3.67739613202024e-06,0,-156.828691170431,0.0221427407725327
"k","Guinea",10628972,1.21608092553054,0.619761102553862,1.00503358535015,0.2,0.848484848484849,0.999994964625173,1.31752210025924e-06,3.71785272670931e-06,0,-156.83281277055,0.022382865719424
"k","Guinea",10628972,1.21789047097638,0.619761102553862,1.00503358535015,0.2,0.858585858585859,0.99999501371,1.33444397198367e-06,3.65184602852037e-06,0,-156.948072130039,0.0286651577075972
"k","Guinea",10628972,1.21601595038008,0.619761102553862,1.00503358535015,0.2,0.161616161616162,0.999995909982255,1.39272622973996e-06,2.69729151554301e-06,0,-156.967422571641,0.0794117515380743
"k","Guinea",10628972,1.21545412392046,0.619761102553862,1.00503358535015,0.2,0.868686868686869,0.999994922034308,1.5892406817542e-06,3.48872501047276e-06,0,-157.095810459531,0.0215826882909672
"k","Guinea",10628972,1.21475456831081,0.619761102553862,1.00503358535015,0.2,0.878787878787879,0.999994829551739,1.4004310884574e-06,3.77001717261414e-06,0,-157.177571204001,0.01361946879142
