"","town","loglik","loglik.sd","nfail.max","nfail.min","mu","delay","sigma","gamma","rho","R0","log.beta1","amplitude","alpha","iota","cohort","eta","tau","S.0","E.0","I.0","R.0"
"23","Hastings",-1589.88840961572,1.02059664684816,0,0,0.02,4,33.9137962035578,30.0908212019378,0.645837641835334,80,7.74530968297681,0.667485498457899,1,0.260265882718635,0.544646998092666,18.7104857049159,0.435644869605769,0.0120236071902598,1.99658433787182e-05,4.26016723497462e-06,0.987952166799162
"24","Hastings",-1586.5572487461,1.82668549482652,0,0,0.02,4,36.3068464096067,31.924991352787,0.662905916707904,85,7.86262626294087,0.588358657718697,1,0.292691101683297,0.19935137519942,21.6821656016151,0.433487518282589,0.00895072946292338,5.92991168714767e-06,5.45807052441256e-06,0.991037882554866
"25","Hastings",-1588.02160929088,1.35699565554171,0,0,0.02,4,31.5272968463738,40.3441995263414,0.669509966718366,90,8.14250027777148,0.54236769828467,1,0.213810133433744,0.519286818181968,20.037486720001,0.410288457715669,0.00989396205059046,5.96679667593298e-06,5.08420204949984e-06,0.990094986950684
"26","Hastings",-1588.80630980578,1.13733540351418,0,0,0.02,4,30.0969482529268,39.0099983157112,0.666581022335231,95,8.16473241573385,0.603308931862553,1,0.235557423613768,0.249675004456515,19.009529692351,0.437649173122989,0.00717191534843957,8.06690649543894e-06,1.59717239116394e-06,0.992818420572675
"27","Hastings",-1588.40269789598,1.72945725352953,0,0,0.02,4,30.7280522272321,31.3270431365616,0.678318792698045,100,8.00704506368244,0.68644176070039,1,0.259223077977803,0.539973685285034,17.3644769314454,0.424609138087677,0.00844736222207805,1.23203349806764e-05,6.39622526662546e-06,0.991533921217672
"28","Hastings",-1588.48022730193,1.52932062485645,0,0,0.02,4,29.1803469994937,37.9188975596241,0.667613407745222,105,8.237915909849,0.599298529292026,1,0.267799914544003,0.417825222285806,18.4678563662249,0.41323432613736,0.0105644197747731,5.77582077763082e-06,6.28671488027174e-06,0.98942351768957
"29","Hastings",-1607.36936067947,1.549749328434,0,0,0.02,4,29.7892493160273,541.957374280693,0.714154169809896,42.8825394714539,9.40147519566328,0.368875312077226,0.66206714862936,0.001,0.547152986500814,65.3164702455193,0.38461064837492,0.0388450346637702,1.98311525782046e-05,1.3031921731508e-05,0.961122102261842
"30","Hastings",-1599.76079756324,2.41830155258416,0,0,0.02,4,23.5483870967742,215.290556992475,0.73645138226108,27.182341090541,8.39409187373473,0.345973049889817,1,0.0731502106837298,0.541948221336163,48.6721282519459,0.439394780715845,0.0278366952366298,1.37380422309011e-05,1.68334669083279e-05,0.97213273325423
"31","Hastings",-1598.24054667087,0.67400230709934,0,0,0.02,4,26.4853869368546,22.0998215534375,0.696208183795681,81.1600623507966,7.46187183413652,0.622391471346123,1,1.53470070644755,0.29473486169448,3.54394025860175,0.41606227027851,0.0133690796082619,5.57912326700234e-06,7.277932795296e-06,0.986618063335672
"32","Hastings",-1598.2325531846,3.00619971572191,0,0,0.02,4,78.6820818015151,29.7451479045519,0.651610649640469,30.8660216158303,6.78185190122317,0.413005848808193,1.13954071006896,1.29154966501488,0.243327976999454,52.0221345271482,0.430748774710912,0.0132475501706815,1.18177278126234e-05,1.06067825201721e-05,0.986730025318977
