"","loglik","loglik.sd","nfail.max","nfail.min","mu","sigma","gamma","rho","log.beta1","amplitude","alpha","iota","cohort","eta","tau","S.0","E.0","I.0","R.0"
"London11",-3805.00679098616,0.203980477883795,0,0,0.02,31.5056075743146,30.1969308525773,0.488615283494164,7.19585423320101,0.525518206135236,1,10,0.59048666406061,150.239348951796,0.113143597918926,0.0295392209709193,3.90896463159195e-05,5.34218457498575e-05,0.970368267537016
"London12",-3805.34105477296,0.198320422047428,0,0,0.02,32.6986623560567,31.7641688001424,0.489132545843193,7.19784380482353,0.495831103020066,1,10.0000000459485,0.57356851791185,175.773180087326,0.113907347764767,0.0300595168975459,3.41876278521614e-05,5.25242193401734e-05,0.96985377125526
"London13",-3806.60316198984,0.221444993288,0,0,0.02,36.3383101233864,34.3815125860323,0.490803871063721,7.22376859250547,0.456241355174842,1,9.57413448888951,0.489001013998847,229.365632485056,0.113906464839049,0.030358133557096,3.26685115495372e-05,4.68760874257063e-05,0.96956232184393
"London14",-3807.9926209191,0.31350182373618,0,0,0.02,39.3960250631578,36.3864540696123,0.492346886836787,7.19710865722966,0.418780697640813,1,6.23730981765499,0.545939803110074,292.555910834934,0.111721606724321,0.0327239326284392,2.9775111418773e-05,4.37957145638555e-05,0.967202496545578
"London15",-3810.10000202247,0.182783481060201,0,0,0.02,50.793265435382,41.458126647985,0.493959349441331,7.15460092982797,0.337944323687802,1,1.52632582118355,0.628853334522287,403.80399292732,0.111840344508366,0.0376983149168382,2.66049595189543e-05,3.71152367127061e-05,0.96223796488693
"London16",-3811.7982974325,0.213368349366279,0,0,0.02,56.7844270768817,47.5261381745073,0.497985515726643,7.13573519480166,0.279255180772094,1,2.07663261196811,0.654556411213748,557.355564065317,0.112867211620745,0.0423080546022893,2.02003596509607e-05,3.74429306578647e-05,0.957634302107403
"London17",-3814.77238552889,0.216801772210442,0,0,0.02,70.4620745477448,59.6429202639782,0.49847974814333,7.18118306969049,0.228194537279094,1,1.19778133048167,0.655581885033705,899.341555380847,0.11491915233883,0.0479234993513518,1.73532778689871e-05,2.88081531383574e-05,0.95203033921764
"London18",-3815.55176362332,0.272251645973629,0,0,0.02,79.9531653651873,83.1899544563444,0.502896647837133,7.2813395399339,0.170820776329821,1,2.11557585627576,0.646515203686575,1451.1656209824,0.108950258123035,0.0564776897736783,1.54190022678629e-05,2.12411645977025e-05,0.943485650059457
"London19",-3817.54434283703,0.339568198082019,0,0,0.02,133.815196294959,110.060792553766,0.511026627138166,7.22750853417549,0.13011342050605,1,1.53386531519314,0.556860768640376,3755.4758683322,0.11113829416608,0.0732271627233374,1.45352313818313e-05,1.37504740517039e-05,0.92674455157123
"London20",-3820.14154727969,0.221486863520555,0,0,0.02,108.897679536844,463.453556932557,0.521764240373635,7.99200589540803,0.0842810660098738,1,0.491644204309441,0.530982822473695,7039.8309833481,0.109823503943559,0.0923643986567514,1.85170929504542e-05,2.87365808458501e-06,0.907614210592214
