"","loglik","loglik.sd","nfail.max","nfail.min","mu","sigma","gamma","rho","R0","amplitude","alpha","iota","cohort","tau","eta","S.0","E.0","E1.0","E2.0","I.0","I1.0","R.0"
"London11",-3800.50747132733,0.923845484687792,0,0,0.02,154.635396398272,20.0164713029558,0.493745603969223,38,0.383304775149167,1,16.8700404181688,0.494232868900874,0.104357487060039,245.060829033854,0.0324995896888247,5.32158249017468e-06,5.32120591144974e-06,5.321201766963e-06,3.77328831154221e-05,3.77364948698559e-05,0.96740897694302
"London12",-3801.22390036911,1.16754900758939,0,0,0.02,177.462008841862,19.0665525621733,0.493500977782883,41,0.420759736583669,1,21.3805487357807,0.39212727942251,0.108460304586159,222.610797534034,0.0301309933468355,6.76275182391404e-06,6.76240263338975e-06,6.76234109005247e-06,3.80351383432286e-05,3.80345238670034e-05,0.969772649495407
"London13",-3802.74604100389,0.862658863793564,0,0,0.02,134.249385716806,18.5156497303406,0.491947359289815,44,0.428267784336223,1,15.624248422289,0.397644892620929,0.108838183855647,188.968946253569,0.0292639666807501,6.6519526694548e-06,6.65202827023989e-06,6.65189993643109e-06,4.00771613406606e-05,4.00793424077272e-05,0.970635920934624
"London14",-3804.10210100177,0.87097534908111,0,0,0.02,156.836029440274,16.9572630085775,0.490493134062794,47,0.45724277911756,1,19.0604840195322,0.406067242231042,0.106660516980831,158.707116596531,0.0279911174118945,7.2231466767531e-06,7.22415764520706e-06,7.22301231472995e-06,4.05452851965785e-05,4.05488386752024e-05,0.97190611814759
"London15",-3805.47542557399,0.906311624442225,0,0,0.02,121.887246652734,16.8910016530873,0.490543878543819,50,0.487342662177966,1,18.0068333640696,0.366819506276542,0.110958598108676,147.47336410455,0.0270815981457949,6.67079777380741e-06,6.66990419657203e-06,6.67039451039074e-06,4.2879729749773e-05,4.2874540699581e-05,0.972812636487273
"London16",-3808.15412752164,0.568928558354546,0,0,0.02,208.401165207325,15.2670508365656,0.486492219466486,53,0.54290934405667,1,27.9783168113111,0.26909794414559,0.113597312352943,128.309316827821,0.0253674123351537,6.74185433267973e-06,6.74249780204219e-06,6.74202498804321e-06,4.51863885874761e-05,4.51808647696929e-05,0.974521994034363
"London17",-3809.8761667535,0.795645326151538,0,0,0.02,182.742204868935,15.2577063049883,0.489390016436979,56,0.505588763584673,1,19.6956143863544,0.355279301683574,0.111091793030369,127.048055920067,0.024837455166494,7.29964799475887e-06,7.2992563737727e-06,7.29975569818657e-06,4.52949420451375e-05,4.52951556157532e-05,0.975050056075779
"London18",-3811.48146104542,0.722833247323443,0,0,0.02,168.116465257484,14.8499782188017,0.488343146105689,59,0.531181004604147,1,11.8710424737099,0.338795130405203,0.110249434709006,117.029512384995,0.0244970581916949,6.41938510010842e-06,6.41975156833582e-06,6.4195112822486e-06,4.59155476906727e-05,4.59188779581009e-05,0.975391848734704
"London19",-3814.29044252916,0.510386049616531,0,0,0.02,158.970645295139,14.0742258254805,0.491500989258952,62,0.579693714505388,1,9.60708177868553,0.369066551750567,0.111151738178211,104.973204383349,0.0238890461453394,7.78762619315449e-06,7.7879344025354e-06,7.7881281253173e-06,4.78699568873904e-05,4.78723062764587e-05,0.97599184790278
"London20",-3815.85811894401,0.58139561491459,0,0,0.02,145.033016836438,14.0611219984008,0.491738287653014,65,0.586408767579821,1,17.5994266239259,0.288039234026612,0.110938336160659,97.0682722455555,0.0225976562536168,6.73532138172238e-06,6.73512665039221e-06,6.7356462127444e-06,5.16918344608528e-05,5.16865576000925e-05,0.977278759260075
