"","loglik","loglik.sd","nfail.max","nfail.min","mu","sigma","gamma","rho","log.beta1","amplitude","alpha","iota","cohort","eta","tau","S.0","E.0","I.0","R.0"
"London19",-3808.42661971911,0.143569210707991,0,0,0.02,29.8259167849456,26.9364445804255,0.489611383688515,6.60514625724343,0.603231773262247,1.08444444444445,51.0037525835551,0.359134063963242,124.351753274863,0.115060190325864,0.024795704391711,4.30592315442649e-05,5.88725528447005e-05,0.9751023638239
"London20",-3809.08490630104,0.111632818718601,0,0,0.02,30.2568642603035,26.1409399399022,0.489989113087017,6.42431096145505,0.581438720638594,1.1,64.6634745493092,0.395959104353259,108.352945234775,0.114447923645084,0.0250450957898268,5.05225152661371e-05,5.65338580195876e-05,0.974847847836888
"Hastings1",-1588.25046654342,0.199591008756009,0,0,0.02,32.1117935563683,329.701726438802,0.687613932324491,9.29100489494374,0.255330045938206,0.802,0.0186354438776572,0.535149094128959,63.2787180118146,0.376050628740409,0.027149340294956,4.2082584154041e-06,5.6841196128434e-06,0.972840767327013
"Hastings2",-1587.89073300175,0.113233859153282,0,0,0.02,32.9209256674262,384.584426960048,0.687478849293753,9.20255486108295,0.269285098050556,0.817,0.0174731668786015,0.586823013723652,71.8772419695987,0.384748151858063,0.0315246780716645,5.07605458744208e-06,4.4471862464699e-06,0.968465798687501
"Hastings3",-1586.37353326075,0.161654699705728,0,0,0.02,34.7395997998379,689.861709354322,0.690533669576168,9.3778850534169,0.215753961160587,0.832,0.0153953111696536,0.578162737829606,93.4800592599467,0.388548685366106,0.0305435294778609,6.84825956975309e-06,3.71022459983364e-06,0.96944591203797
"Hastings4",-1585.23771557989,0.160320389231703,0,0,0.02,35.6358430216463,937.624055922088,0.697423406591136,9.61513774425728,0.198093865542202,0.85,0.0135850618473942,0.607886594900523,123.591049134254,0.396904623697327,0.0225161671922411,4.18228841855056e-06,3.44001487948495e-06,0.97747621050446
"Hastings5",-1585.23771557989,0.160320389231703,0,0,0.02,35.6358430216463,937.624055922088,0.697423406591136,9.61513774425728,0.198093865542202,0.85,0.0135850618473942,0.607886594900523,123.591049134254,0.396904623697327,0.0225161671922411,4.18228841855056e-06,3.44001487948495e-06,0.97747621050446
"Hastings6",-1585.23771557989,0.160320389231703,0,0,0.02,35.6358430216463,937.624055922088,0.697423406591136,9.61513774425728,0.198093865542202,0.85,0.0135850618473942,0.607886594900523,123.591049134254,0.396904623697327,0.0225161671922411,4.18228841855056e-06,3.44001487948495e-06,0.97747621050446
"Hastings7",-1584.89659383775,0.185583542822164,0,0,0.02,34.745262184473,758.810585170668,0.697493572743905,9.47806376509542,0.215314324924555,0.871,0.0185781826138735,0.582690468164453,114.757156968847,0.394750321019381,0.0257693781482891,6.4563260319313e-06,3.85031793639627e-06,0.974220315207742
"Hastings8",-1584.66951508003,0.184940729693317,0,0,0.02,35.6457805596149,1021.38899830403,0.699152431383779,9.50994510968088,0.236772306204168,0.892,0.0180115985721256,0.477617083260573,137.511856084006,0.409668441556636,0.0258466793740489,6.16853740971656e-06,2.07438741790694e-06,0.974145077701123
