"model","district","r.squared","IP","short","long","fatality","R0","loglik","loglik.sd","nfail.max","nfail.min","init.pop","gamma","rho","eps","delta","clin","deltaI","alpha","beta.trend","log.beta1","log.beta2","log.beta3","log.beta4","log.beta5","log.beta6","sd.beta","tau","S.0","I.0","Rs.0","R1.0","R2.0","R3.0","batch","omega","ndata","dof","aic.c","phage.t","phage.r","Phi.0","omega1","omega2","omega3","omega4","omega5","omega6"
"sirs","Rangpur",0.63320366321229,3.53415959544033,Inf,0.538995202447976,0.00474803400326574,1.52347632536996,-3269.01535001191,1.59899282467937,0,0,2065464,14.7135404035202,0,1.85530408333555,0.02,1,0.070289085793811,1,-0.00658969622488418,1.21997432934875,5.28814577048548,0.843805382458252,3.36994388758502,3.53794698315562,3.58220477101879,4.09287292339072,0.622779247345583,0.915589686044105,0.0167851877078507,0,0.0082597162764772,0.0111099908068744,0.0482554191646894,NA,0.000638476748946493,600,17,6573.08224641557,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sirs","Rashashi",0.694341907638672,3.12524843653442,Inf,0.188464763084459,0.00335261390855214,1.48227400034169,-3301.85853974127,0.237182123505332,0,0,1313336,16.6386772303013,0,5.30603166148283,0.02,1,0.0560379867140538,1,-0.00573047751407946,1.59196039307018,5.26639815840245,0.697279395087471,3.16295098802169,3.4556221005398,4.12837048856918,4.11541037407051,0.481760428501281,0.280553158043319,0.120469629873752,0,0.259999769569475,0.20991275063864,0.129064691874813,NA,0.0031297315320224,600,17,6638.76862587429,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sirs","Tipperary",0.763337041748908,4.5545922253033,Inf,0.0419216669385144,0.00150686515805335,1.50386965802002,-3647.76733560754,0.541495989489933,0,0,1782935,11.4170484266651,0,23.8540132830758,0.02,1,0.0172600984260532,1,-0.0046761373770961,1.52509734200482,4.84960775359145,-2.4896694487745,3.31638274275272,2.75264556776629,4.42227197644739,3.11525312064981,0.404692874099272,0.495217284774899,0.504294155239627,0,0.000296591873955329,4.8776133458748e-05,0.000143191978059615,NA,0.00451586412868543,600,17,7330.58621760683,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sirs","X24.Parganas",0.844225913780727,8.22750681994432,Inf,0.0648847754404803,0.00540927193756469,1.35472070201713,-3777.82256222544,0.609240248604199,0,0,1758103,6.32026215693273,0,15.4119359003918,0.02,1,0.0344827286185465,1,-0.00604575136264446,0.754702465469161,4.49974152665757,-6.72336144102447,1.81585136213947,1.32024816129676,4.62188366222814,2.49061830656952,0.15550818739494,0.491175200889093,0.249119605152187,0,0.00159690412231534,0.256086625173862,0.00202166466253983,NA,0.0213106841730616,600,17,7590.69667084263,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Bakergange",0.857216022554774,7.35219947348115,6.09528615111107,1.9185404278679,0.278665130153928,1.37858568187716,-3656.25201018692,0.408342010630583,0,0,2153965,7.07271343596705,8.53118273873349,0.521229568829735,0.0199999999999999,0.0088075594318502,2.74004764694107,1,-0.00484693503696367,4.00506525285479,13.1738168804484,-10.7079857748605,2.75023991901542,6.8183301181805,10.1868921991784,308.333868134471,0.311322180686953,0.0442875201224253,0.00240781728023337,0.934072314048884,0.00701397360032443,0.0119185065101721,0.000299868437956549,NA,0.0115006805156886,600,20,7353.95479757591,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Bankura",0.556431283785901,4.71260602108037,11.5994323585253,3.00912943604007,0.184096436842009,1.40955538732928,-3036.76418624386,0.512581843680844,0,0,1069668,11.0342345121562,4.48297799346891,0.332322029096884,0.0199999999999999,0.0107127515845629,2.49422269689224,1,-0.00453713634047978,7.93925297006655,7.68872382027553,6.85469274330693,8.37885033748913,6.1210952107277,7.59405510989317,334.779966009826,0.466432848886228,0.90712178477247,0.000206269975384396,0.0449741263327396,0.0066291971976099,0.0227645011568856,0.0183041205649044,NA,0.0098987497175488,600,20,6114.97914968979,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Birbhum",0.492262172072414,40.313230214875,9.73560744726308,2.0256105481547,0.830482520015592,1.60620575729989,-3086.77250187364,0.35388410783147,0,0,797833,1.28989911557156,5.34121782145381,0.493678313884663,0.0199999999999999,0.0078720148261051,6.41732238212912,1,-0.00521048239258707,6.12360978669348,9.0502662201874,4.45156133208431,9.6085139995481,4.54818668137863,9.420647421317,539.682532722317,0.528811173103654,0.892955953969156,5.38499405089212e-05,0.0526331334061901,0.0081819031959008,0.0148969569556624,0.0312782025325855,NA,0.0128172190009917,600,20,6214.99578094935,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Bogra",0.521578287713993,2.4099221934008,20.1894248886142,2.34055005278241,0.0110099036713606,2.30297782205729,-2837.46264265527,1.40004368344043,0,0,817494,21.5774601115314,2.57560580783682,0.427249995705588,0.0199999999999999,0.239963219110964,0.240433100651593,1,-0.00741190450114167,4.48596821509923,6.45171097021327,4.34420068252969,5.3730745721975,5.69781446552332,5.4992046990133,27.6631920794834,0.653193983559637,0.67200692571557,0.0102621999514756,0.145435403806025,0.00161234754303219,0.104581424233711,0.066101698750183,NA,1.8548530080824e-05,600,20,5716.37606251261,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Burdwan",0.580005923522503,28.9407683254334,12.1102779590762,0.958171674058903,0.694762322216424,1.43630845829909,-3415.60847129708,0.919555042153487,0,0,1391880,1.79677330661266,4.29387336737619,1.04365431276413,0.0199999999999999,0.00788034058164468,4.1352222655094,1,-0.0096783014761534,6.2827884053078,9.72732667900664,0.122113127023104,8.13295450448027,5.59527427321464,8.46618787454053,448.599233671787,0.388050584217939,0.791443822685505,0.000182191107315593,0.0816441700993183,0.0190366792712766,0.0948144492492904,0.0128786875872911,NA,0.0297314405014439,600,20,6872.66771979623,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Calcutta",0.761620975166847,4.58250699728674,9.34512269516343,1.38925269671806,0.290823931747013,1.27263552302872,-3035.40200640416,0.356399642724702,0,0,681560,11.3475004033357,5.56439992242291,0.719811451410084,0.0199999999999999,0.0104047512027561,4.66166486635377,1,-0.00572728468652232,7.62236647973395,8.33226262334028,6.74486499205618,6.87912475045342,7.92834551797231,7.63292420650938,201.855519465029,0.227628073275922,0.601715118144706,0.00022062815447281,0.0122846577783931,0.0774680720347692,0.0658258003290607,0.242485723558606,NA,0.0129396451132918,576,20,6112.31752632183,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Chittatong",0.71328609154972,6.20094871639186,11.1259084108856,1.67931691877023,0.301453712010432,1.42912965595744,-3248.50316738689,2.59106652474634,0,0,1290167,8.38581358728882,4.67377566663441,0.595480215093828,0.0199999999999999,0.011296315191458,3.62748145960198,1,-0.00682967665707639,5.96751674760766,8.8598816343064,6.17636113624436,7.50004264391726,6.1765886370499,8.83732786235921,288.722923322105,0.439624432760497,0.0914740372567106,0.000271511441798493,0.789541256346239,0.0310088154883653,0.0460648917405769,0.0416394877263071,NA,0.00419369900342012,600,20,6538.45711197585,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Dacca",0.851565757624652,6.4821389283703,7.30729452492282,1.51033267197903,0.534604730101625,1.29387794516084,-3784.66207521615,0.34409662841175,0,0,2420656,8.02204342958652,7.11617683160913,0.662105785402677,0.0199999999999999,0.00511580845265101,9.23798485979126,1,-0.00675019708020379,6.52806748216005,11.4186429894924,2.07936505735659,8.98460007099201,8.59270817267328,9.52862677555717,639.587564803462,0.23349374871441,0.235089230735954,0.00223962986600789,0.312815981661156,0.246946116560056,0.0642931506222402,0.138615890554587,NA,0.0108828526388837,600,20,7610.77492763437,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Dinapur",0.508477730965749,11.9913466773773,17.6017389898772,1.38528461514279,0.230319810284903,1.8682220813758,-2945.83430561213,0.432412721264381,0,0,1555835,4.33646039923961,2.95425355585066,0.721873316911793,0.0199999999999999,0.00574094489106615,1.30363123031394,1,-0.0104572145990853,4.23215719660274,10.6988276910921,4.21311535231225,4.39956780122252,8.8664970878277,8.7131527137673,694.118951251505,0.628744513417696,0.244531316113877,0.0143364436084389,0.529447918064922,0.0555624148264017,0.0479590965896755,0.108162810796688,NA,0.00972353767214394,600,20,5933.11938842633,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Faridpur",0.782737723388054,4.86511038599446,7.34339607189672,1.53163488447541,0.447153154174867,1.34062957650261,-3660.0357933581,0.297972395873783,0,0,1797320,10.6883494667862,7.08119233810699,0.65289711675802,0.0199999999999999,0.00561241176169038,8.6611188545964,1,-0.0035947991748489,6.7071211408231,11.4468358971504,2.30210213470684,9.52020558816625,8.31885444782844,9.56787849788262,594.903177964604,0.384690423201572,0.230455438679895,0.00290453632810116,0.458831020537408,0.0933300486000143,0.110906267568775,0.10357268828581,NA,0.00664316413548514,600,20,7361.52236391827,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Hooghly",0.57266562246504,16.0690006565686,10.2450005210045,1.26904508843012,0.575053340207573,1.10621032265762,-3251.91595939934,0.392027221106295,0,0,1076710,3.23604442562168,5.0756463987863,0.787994066654522,0.0199999999999999,0.00397282910028554,4.40619823610946,1,-0.0093969923636577,6.67261471752106,10.6798531892741,1.24482190226937,6.71659107184572,7.9446757711051,8.5307436216497,757.200523657155,0.354661901002773,0.474204538922436,0.00048376666350979,0.286270983398555,0.0326381437172169,0.0365329539344905,0.169869613363787,NA,0.104063948142971,600,20,6545.28269600075,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Howrath",0.77099528057833,4.65662388818363,9.09822844644706,1.62982180167428,0.31991377988381,1.32168190514279,-3365.45140876397,0.415831009214521,0,0,721211,11.1668885545925,5.71539836640467,0.613564009864587,0.0199999999999999,0.0113516131785275,5.26233247606046,1,-0.00253545091669974,7.56310655709629,7.9776799497972,6.73376797613689,7.39640883735762,7.55317977930984,7.93198397801941,202.260116978223,0.199145046487746,0.845713843047318,0.00129920941354067,0.110643344925313,0.00890801112209178,0.0321265608992708,0.00130903059246146,NA,0.0121112844505626,600,20,6772.35359473001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Jaipaguri",0.584529752587985,2.1750481076471,3.06506388634823,0.303296256937182,0.00644409609174898,1.47212375668549,-2388.06163848965,0.683883717803635,0,0,681352,23.9075171795864,16.9653886274957,3.29710630160239,0.0199999999999999,0.459849398467693,0.155191287511556,1,-0.00147827002386103,3.98515890038605,5.12971939238572,4.25899583630782,3.95927095310599,4.46232853195581,4.12730491304644,9.4606942211986,0.680666560554626,0.954708441650563,0.00184493875564173,0.00750398056043237,0.00440508478895677,0.0146653742327564,0.0168721800116461,NA,5.42571122717967e-05,600,20,4817.57405418137,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Jessore",0.749618749654548,5.39729679579899,5.62920617934048,0.585486022207602,0.302992433206925,1.63351755559993,-3501.31870315686,0.276006355628521,0,0,1888827,9.63445257271647,9.23753693564167,1.70798270508569,0.0199999999999999,0.00531173099186179,4.19683546585751,1,-0.00450653714660081,6.27003251802472,11.2870015858178,2.58222042072142,8.54544019357413,8.5016767840983,9.88307999185002,799.66242064209,0.384248976949812,0.201547221261288,0.00321806632449825,0.162498153352668,0.145416992739461,0.243438237155961,0.243881329166128,NA,0.010211666650773,600,20,7044.0881835158,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Khulna",0.719906530104557,12.3099432225939,7.26367246536565,1.5143548417237,0.48145470378215,1.43892022731647,-3506.52354221668,0.250731631869715,0,0,1177652,4.22422744440919,7.15891310462363,0.66034721351157,0.0199999999999999,0.00534420478055463,3.94064565224332,1,-0.00801189875259487,4.49894023658752,11.6491040585554,-0.494999197963791,6.91322922749134,8.0292802206389,9.73925206843335,490.992488425858,0.358575651603856,0.086949574335199,0.00202081467223574,0.174192025678133,0.0881797433202902,0.262774787038384,0.385883054955758,NA,0.0147187490162472,600,20,7054.49786163543,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Malda",0.591808142853929,1.77734817983578,2.26678969546989,0.359610774892905,0.00456132682011772,1.63067290063323,-2900.34508816636,0.872970182617677,0,0,814919,29.2570699370816,22.9399313504558,2.7807843085286,0.02,0.480862495038867,0.134154205494024,1,-0.00212774671201782,3.69306944092475,5.4587606870472,3.95604821829713,4.32725748464259,5.14122627613816,4.82767321175896,10.6390366136782,0.63032136217447,0.763437926563718,0.0215943534399386,0.00464567202755685,0.0669701230922131,0.0939652519333022,0.0493866729432756,NA,2.52137327881677e-05,600,20,5842.14095353479,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Midnapore",0.673643178022438,4.75640538935671,8.8879798237255,2.07656451286939,0.254402322593856,1.3056265020669,-3879.16951503205,0.314550833042361,0,0,2631516,10.9326257421958,5.85059833970275,0.481564619737338,0.0199999999999999,0.0098809789481191,3.73710046550758,1,-0.00496520225714314,7.84785770463512,7.27668350700862,7.23742613674435,7.50901508634155,7.31463319844755,8.07075242362684,275.811249881769,0.294505735256503,0.786874299964818,0.000570252198207118,0.127738997643409,0.0165777132500393,0.0221369371691626,0.0461017997743654,NA,0.0235569954231481,600,20,7799.78980726617,NA,NA,NA,NA,NA,NA,NA,NA,NA
