"","loglik","loglik.sd","nfail.max","nfail.min","mu","sigma","gamma","rho","log.beta1","amplitude","alpha","iota","cohort","eta","tau","S.0","E.0","I.0","R.0"
"Hastings6",-1589.6880084466,1.28840294502005,0,0,0.02,279.645487490269,40.3251141114714,0.672756980610789,7.05224368817625,0.196946504778777,1,0.33516397810999,0.419447426478548,170.470304502652,0.430704277549911,0.0274385238176773,1.67711770862875e-05,2.160538153182e-05,0.972523099623707
"Hastings7",-1590.02198510769,1.2733376277798,0,0,0.02,112.399403031944,34.7226227580897,0.660460973363359,7.33765089164574,0.260112832054931,1,0.360800104231151,0.491754244456358,63.1610086931309,0.410681768327978,0.0178793834720136,1.09348399660574e-05,1.3210438577047e-05,0.982096471249438
"Hastings8",-1589.69055667373,1.21440170165104,0,0,0.02,1828.26478144416,30.4969845469761,0.716923324575746,6.96994600088555,0.24008618401077,1,0.403351004191167,0.357172590679555,92.8146962627797,0.39737909682635,0.0197934916561704,1.25186838949351e-05,1.93918341152739e-05,0.980174597825816
"Hastings9",-1592.19309697084,1.0634803871194,0,0,0.02,259.649746745418,27.0876429424816,0.658704485758083,7.19052853585637,0.33329953974102,1,0.39571412303937,0.417727128708179,59.3248048300538,0.410839182846194,0.0157429241072292,1.57813682894024e-05,1.44381579551647e-05,0.98422685636653
"Hastings10",-1590.91266276614,1.38412987239936,0,0,0.02,98.4332199735355,24.7592592592592,0.684923621111033,7.15527849513456,0.366328261851601,1,0.487770275460057,0.43990098403449,24.8503743319657,0.423556204736249,0.0175633078071698,4.40628898006719e-06,6.23729360491052e-06,0.982426048610246
"London11",-3813.29933693394,1.33861796561795,0,0,0.02,34.6516407790986,66.3636363636364,0.494880225683614,7.57670810909983,0.303038938378556,1,0.569558961731596,0.69744092848834,374.868112335596,0.111244605006737,0.0379884720198106,3.96569645211657e-05,2.1928671872813e-05,0.961949942343795
"London21",-3810.59810616205,1.41035282794666,0,0,0.02,30.9983870238712,49.7727272727273,0.494326928226777,7.47217927440331,0.385664940016279,1,1.42833213982584,0.646841726720904,262.452660583838,0.109634277093187,0.0334768715938687,4.0450311567296e-05,3.27647695978429e-05,0.966449913324968
"London31",-3809.96010414296,1.77681986650714,0,0,0.02,29.7893472423833,39.8181818181818,0.495738732121938,7.37264311275298,0.459801289284322,1,0.446431794442813,0.779704487601757,179.931550247423,0.109005361796124,0.0312435991768085,4.51267706514304e-05,4.04412642469979e-05,0.968670832788292
"London41",-3808.43249411608,1.6039192407482,0,0,0.02,28.5701245038918,33.1818181818182,0.48839979991697,7.36438865910738,0.49720896964989,1,1.5188388060128,0.649091280462922,148.511765701081,0.111821712372108,0.0285918905619554,4.80383482700732e-05,4.38498609380277e-05,0.971316221228836
"London51",-3809.53882515356,1.43030900253901,0,0,0.02,29.7662815823043,28.4415584415584,0.494544234941257,7.18827342401308,0.580572841308679,1,0.431477751468315,0.612607198469735,131.658850805055,0.112567660907937,0.0280910642861379,5.76336761797785e-05,4.67614666869868e-05,0.971804540570993
"London61",-3810.94661968258,1.48609431885705,0,0,0.02,43.7901266102898,24.8863636363636,0.490796179161741,7.01104436309783,0.533934740294303,1,0.582560011366727,0.555719127949465,145.652835519553,0.113727817038172,0.0291891138686238,3.49891508542415e-05,5.49708569540398e-05,0.97072092612357
"London71",-3811.46615432323,1.98687349903113,0,0,0.02,38.2592607816629,22.1212121212121,0.492217944005273,7.00778290663641,0.607111643628197,1,0.637290521637286,0.619138459419947,129.532981767784,0.114463043471815,0.0274773447898224,4.46180650652881e-05,6.14351159542369e-05,0.972416602029155
"London81",-3812.88369873452,1.1514854054371,0,0,0.02,32.8735386702998,19.9090909090909,0.49078479543216,7.07890618614562,0.65918803583252,1,1.04533996137708,0.451786919459785,79.4832911802743,0.112577728048288,0.0243229890780465,4.29763425679663e-05,7.45833046431705e-05,0.975559451274743
"London91",-3814.04388552099,1.40227552031035,0,0,0.02,41.2970028993082,18.099173553719,0.4883158680289,6.9709704460924,0.672251728017423,1,0.548327698830966,0.590280360722148,97.4202779065913,0.115871612962381,0.0255139193357619,3.79222080457468e-05,7.64697519294019e-05,0.974371688704262
"London101",-3816.3492976634,1.07302910569147,0,0,0.02,34.4133827752316,16.5909090909091,0.486174914003067,6.96278988294837,0.764529662729116,1,0.214382882242864,0.565206398264086,77.4584040688837,0.120788796856437,0.0247763150048613,3.44114354481423e-05,9.6602228038019e-05,0.975092671331653
