"","loglik","loglik.sd","nfail.max","nfail.min","mu","sigma","gamma","rho","log.beta1","amplitude","alpha","iota","cohort","eta","tau","S.0","E.0","I.0","R.0"
"London11",-3805.00679098616,0.203980477883795,0,0,0.02,31.5056075743146,30.1969308525773,0.488615283494164,7.19585423320101,0.525518206135236,1,10,0.59048666406061,150.239348951796,0.113143597918926,0.0295392209709193,3.90896463159195e-05,5.34218457498575e-05,0.970368267537016
"London12",-3805.32567308999,0.139738941193068,0,0,0.02,32.04755583367,26.6081228959919,0.488224471718351,7.1080063933325,0.563830655437522,1,14.142135623731,0.5704585955921,133.916037303918,0.114345372927975,0.0286947734211603,3.97061784337566e-05,5.97668684245199e-05,0.971205753531982
"London13",-3805.21444975411,0.171690310858494,0,0,0.02,30.1202880769365,28.5172247779418,0.48850169301181,7.20359757959335,0.565717313689932,1,20,0.473738818970855,129.627144920315,0.113789205721795,0.0275757004411852,3.83350027232752e-05,5.9475590078699e-05,0.972326488966012
"London14",-3806.50972855381,0.164082801252648,0,0,0.02,27.895971257308,30.2290385965898,0.488204730648997,7.2776362100316,0.571970332130665,1,28.2842712474619,0.38708249126287,120.510135289271,0.113267006355724,0.0266821834850085,4.09671406695253e-05,5.81684704141139e-05,0.973218680903908
"London15",-3807.45970535521,0.230247953961841,0,0,0.02,30.2430753546867,26.1230319551054,0.487296864740322,7.13603716659828,0.599672608567129,1,40,0.417476202973538,108.419833039463,0.113454854423385,0.0267920093858454,3.7437852631012e-05,6.46730757025757e-05,0.973105879685822
"London16",-3808.65551802819,0.204206323312873,0,0,0.02,31.4888469079732,22.8172416023531,0.486494596369482,7.0417693655708,0.64859673258233,1,48.9897948556636,0.400752671840699,98.7931394098857,0.114285034156152,0.0262215242585287,3.63489609919133e-05,6.91751431803845e-05,0.9736729516373
"London17",-3810.65317061209,0.282350100509707,0,0,0.02,30.9194093001775,22.6389489864289,0.485210372531909,6.99547848508065,0.633993425602759,1,60,0.441403522479202,90.3554281650288,0.113787083494368,0.0269430081436933,4.00847044266113e-05,6.93931881738707e-05,0.972947513963705
"London18",-3812.45463681408,0.177503887729738,0,0,0.02,30.5267466617634,22.1315768946987,0.484476507453786,6.96984041643172,0.648924395584613,1,71.1378682136865,0.422782394502762,84.5784329202516,0.113589700392986,0.0268988079856663,4.56853435935319e-05,6.84345824359685e-05,0.972987072088304
"London19",-3813.91070360266,0.216181765410459,0,0,0.02,30.1267483274563,21.4229472928323,0.48390200588312,6.95256051013207,0.681015046422201,1,84.3432683801522,0.372653813126336,79.5233891852897,0.113499724198655,0.0264772586685909,5.32698832481828e-05,6.65952555449461e-05,0.973402876192615
"London20",-3815.95457867397,0.233110367333151,0,0,0.02,26.6672604261852,20.5402391784906,0.481440327456788,7.02828853213576,0.766337112801724,1,100,0.26934921431778,65.8620875354577,0.115903131869897,0.0245130427769848,5.74474176008877e-05,6.90430720594817e-05,0.975360466733355
