Beta,mu_IR,rho,eta,N,loglik,loglik.se,k
4.281058492982282,2,0.06719247896439354,0.5161538461538461,38000,-104.34837333012227,0.026601309944208635,10
3.72763056076465,2,0.058863565595758276,0.5971227829656457,38000,-104.34843004181594,0.018319265126393456,10
3.546138241388015,2,0.05474878559826668,0.6291843178488022,38000,-104.34846479360152,0.016020374043201616,10
3.4949993749150723,2,0.05496543918208765,0.6366666666666666,38000,-104.34850564993478,0.03793344378503305,10
3.942066471848866,2,0.06104368844534755,0.5643589743589743,38000,-104.34894845620249,0.026517250506099866,10
3.478662665117672,2,0.0542630955026454,0.6366666666666666,38000,-104.34898528127711,0.019845209468782595,10
4.113312652029946,2,0.06406206475395115,0.5402564102564102,38000,-104.34907044337703,0.019238811524543195,10
3.6118076426815775,2,0.05795685512015657,0.6125641025641025,38000,-104.34911245458082,0.024036784620319836,10
3.239713113564387,2,0.05035699274911809,0.6848717948717948,38000,-104.34958407887508,0.0264993350543741,10
3.3594251727638316,2,0.05217170213035423,0.6581640982288189,38000,-104.3496019829702,0.03280072736005299,10
3.7733866209799074,2,0.058528591635596795,0.5884615384615384,38000,-104.35041862561934,0.02815872485317944,10
4.297254348682988,2,0.0662752606989116,0.5161538461538461,38000,-104.35052285180583,0.03040369248399523,10
3.6125035635508107,2,0.05529900890866627,0.6125641025641025,38000,-104.35091225526931,0.020941398740700414,10
4.126594334467879,2,0.06422552028786303,0.5402564102564102,38000,-104.3511156716539,0.03768441269467352,10
3.47314351950139,2,0.05474878559826668,0.6366666666666666,38000,-104.35131370314927,0.019277613879350827,10
3.7187068650615513,2,0.05834219779669334,0.5982138357916853,38000,-104.35169123281237,0.024188373215099285,10
3.477905180687606,2,0.05419814138073749,0.6366666666666666,38000,-104.35216072513815,0.02564980179855035,10
3.365515439252929,2,0.0520091016955341,0.6607692307692307,38000,-104.35355943472173,0.03211910087581878,10
3.943744594971708,2,0.06011537874396202,0.5643589743589743,38000,-104.35391505544338,0.029121845917133255,10
3.7730768451925347,2,0.05838748212738601,0.5885185200891994,38000,-104.354488950856,0.028705897291079394,10
3.659576253244033,2,0.05612401541001731,0.6072995032598054,38000,-104.35454334199551,0.012917323186298043,10
3.382800423434335,2,0.05217170213035423,0.656307820001549,38000,-104.35480330020592,0.01579261352770512,10
3.91713544994314,2,0.06200145025479964,0.5643589743589743,38000,-104.35609276340482,0.029819800791354163,10
3.580767056106562,2,0.05564790147700303,0.6216054602442108,38000,-104.35614893697088,0.01514361918169324,10
4.358603025523242,2,0.06790203430074686,0.5101384393799138,38000,-104.35616842846868,0.021042029959831454,10
