# Wisconsin data for Martinez-Bakker et al (2015) "Unraveling the Transmission Ecology of Polio"
"time" "cases" "births" "pop"
"235" 1950.58333333333 42 7361 3438000
"236" 1950.66666666667 127 7486 3438000
"237" 1950.75 311 7149 3438000
"238" 1950.83333333333 264 7185 3438000
"239" 1950.91666666667 126 6449 3438000
"240" 1951 50 6615 3438000
"241" 1951.08333333333 6 6682 3439000
"242" 1951.16666666667 2 6390 3439000
"243" 1951.25 1 7480 3439000
"244" 1951.33333333333 0 7314 3439000
"245" 1951.41666666667 6 7634 3439000
"246" 1951.5 29 7816 3439000
"247" 1951.58333333333 91 7796 3439000
"248" 1951.66666666667 282 7724 3439000
"249" 1951.75 555 7676 3439000
"250" 1951.83333333333 274 7482 3439000
"251" 1951.91666666667 107 6898 3439000
"252" 1952 39 7148 3439000
"253" 1952.08333333333 11 6682 3469000
"254" 1952.16666666667 10 6390 3469000
"255" 1952.25 9 7480 3469000
"256" 1952.33333333333 0 7314 3469000
"257" 1952.41666666667 7 7634 3469000
"258" 1952.5 18 7616 3469000
"259" 1952.58333333333 67 7796 3469000
"260" 1952.66666666667 618 7724 3469000
"261" 1952.75 767 7676 3469000
"262" 1952.83333333333 426 7482 3469000
"263" 1952.91666666667 191 6898 3469000
"264" 1953 36 7148 3469000
"265" 1953.08333333333 9 7170 3506000
"266" 1953.16666666667 5 6706 3506000
"267" 1953.25 4 7350 3506000
"268" 1953.33333333333 5 7116 3506000
"269" 1953.41666666667 7 7262 3506000
"270" 1953.5 12 7470 3506000
"271" 1953.58333333333 40 7932 3506000
"272" 1953.66666666667 209 8008 3506000
"273" 1953.75 217 7656 3506000
"274" 1953.83333333333 180 7510 3506000
"275" 1953.91666666667 61 7094 3506000
"276" 1954 14 7500 3506000
"277" 1954.08333333333 13 7316 3608000
"278" 1954.16666666667 4 6830 3608000
"279" 1954.25 7 7920 3608000
"280" 1954.33333333333 2 7402 3608000
"281" 1954.41666666667 5 7560 3608000
"282" 1954.5 17 7548 3608000
"283" 1954.58333333333 32 8192 3608000
"284" 1954.66666666667 127 8074 3608000
"285" 1954.75 183 8058 3608000
"286" 1954.83333333333 178 7866 3608000
"287" 1954.91666666667 80 7564 3608000
"288" 1955 37 7542 3608000
