Beta,rho,eta,sigma,psi,N,mu_IR,iota,loglik,loglik.se
7.6347327693086635,0.11618668329258054,0.293013435129198,0.016289920948047428,5.872925216007054,38000,2,0.05,-104.75894994277053,0.01645643650957767
6.1679392799642105,0.10167964759700729,0.3568246650908319,0.04010769699192281,5.429181464690578,38000,2,0.05,-104.75919255664078,0.024288412395359785
6.865917371428795,0.11030265299111064,0.32447213403861547,0.024667634431396513,5.678275636052954,38000,2,0.05,-104.76142956588451,0.03213293125185996
6.21014207450998,0.09519230087078329,0.362010300189006,0.04882942416378177,5.820093552683621,38000,2,0.05,-104.76217976531603,0.03745429004255203
6.831329271632614,0.10885476930728202,0.324370738109724,0.0181848040404062,5.973101170252547,38000,2,0.05,-104.77045406518562,0.024999761912709965
6.189705209411532,0.09477438898573635,0.3615128899101671,0.05725417063897972,5.969813828725709,38000,2,0.05,-104.77314609498511,0.02896212127159186
6.57832862722901,0.10498346711737988,0.33620704551744857,0.04012782479922071,5.964656245319997,38000,2,0.05,-104.77373492698705,0.028058618709279448
6.835739730801148,0.10014309331789684,0.32934539230725846,0.03459853703482392,6.1146711203118675,38000,2,0.05,-104.77528532357842,0.019613814565565352
7.349827235435981,0.11193142948564426,0.3024724308284957,0.008910960022986808,6.277270435217994,38000,2,0.05,-104.77848652420073,0.024610624916660367
6.310862562569072,0.09712950594569378,0.356080247332424,0.04985702750682879,5.5719250814963495,38000,2,0.05,-104.77893890953115,0.027174947326482665
7.228690567377299,0.10840550208931704,0.30781042398331865,0.02383765737080344,5.284853100401325,38000,2,0.05,-104.78071726788774,0.02831475576567742
7.337963035526598,0.11367350495541682,0.3049360109029516,0.022275259465790436,5.807398747417265,38000,2,0.05,-104.78077687563659,0.024567179485365954
7.075380155818858,0.10715821753400137,0.31688448193435925,0.043949063899138746,5.796067395586037,38000,2,0.05,-104.7812963903769,0.03201310059304497
7.066491182073865,0.1070060411026092,0.319001262139629,0.01578789498295191,5.2552768058042725,38000,2,0.05,-104.78322190230925,0.02481357074895954
7.000871680506557,0.10824674255574748,0.3169823470344204,0.03794726714565835,5.172469964520563,38000,2,0.05,-104.78488906024003,0.035400378002985664
6.563221971916451,0.09941256761264165,0.340732225362124,0.04275012487848838,6.892397495884235,38000,2,0.05,-104.7849958300144,0.02239087620053227
7.6508031352985615,0.11463018406518802,0.29439350200540876,0.014697940024285748,5.903532297707378,38000,2,0.05,-104.78742680744004,0.02779836999737142
6.539848837031255,0.0970380363373871,0.34183246908440984,0.051175947417125146,6.170566956955308,38000,2,0.05,-104.79654593896032,0.012059172454768376
6.38006747023032,0.09979061352002783,0.3510797707569221,0.044055701560465385,5.4946142136176865,38000,2,0.05,-104.7975664360572,0.01893904294057425
7.338519740304003,0.11442083199646033,0.30467944792749074,0.013714798881594409,5.449127111216721,38000,2,0.05,-104.8000104776818,0.01969986134087818
6.446191965306108,0.09237150847672308,0.35027987337426997,0.04664443173067152,5.849121790550822,38000,2,0.05,-104.8020455629889,0.02798013411662936
6.754803419009406,0.10011610675104206,0.3318545907542377,0.023873860343810147,4.697529283506485,38000,2,0.05,-104.8027404906509,0.02021309192786494
6.280582785881481,0.10063405013077516,0.35346048861986884,0.035012828542253224,4.518044940167737,38000,2,0.05,-104.80426574756079,0.019206959308310945
7.631482230541496,0.11849610286220405,0.2914254879497931,0.0031147585239001104,5.93310972018881,38000,2,0.05,-104.80548259527599,0.032579497375994845
6.501623817747262,0.09561018244615148,0.34768063483926887,0.04169345639795511,5.598201522230165,38000,2,0.05,-104.81042642700582,0.03407781337515827
6.91126795258302,0.10565508268827407,0.32479411755560805,0.043376538176768384,5.845865237459578,38000,2,0.05,-104.81450966721036,0.021692338935843037
6.543880469709581,0.10256337332766183,0.3403985764711314,0.04196194647213046,5.26037575758059,38000,2,0.05,-104.81790139995927,0.012637107800754572
7.157337357165409,0.1058825624814346,0.31305297888708866,0.0283485470997584,5.007010476175492,38000,2,0.05,-104.81988738670618,0.026013262704407288
7.10308449617849,0.10667595429985825,0.3129218757031448,0.008452614954491816,4.972859564271491,38000,2,0.05,-104.82629458768376,0.02062339038881367
7.320671260474345,0.11189747948619917,0.30284511715010093,0.030833381985944194,6.303896925625812,38000,2,0.05,-104.83803923237984,0.017563991209411437
7.1792543186895745,0.11191772541201603,0.31012053970035747,0.029278679190546924,5.181978381493797,38000,2,0.05,-104.84814002108912,0.01657311182858094
6.1910611265504505,0.09387252226232733,0.36438682694131164,0.05137610764153533,4.811730712002997,38000,2,0.05,-104.84845777601832,0.021674867459658527
7.584180124251783,0.11247180797040146,0.29674766463428953,0.029389989466265396,5.642712024004116,38000,2,0.05,-104.86669413387864,0.03175197173554487
7.48491765261759,0.11478642361718189,0.2980870481115304,0.03356373876929676,5.437297878082956,38000,2,0.05,-104.86959576831168,0.030388787187170092
7.352637231551315,0.11566320719557868,0.3038657091565541,0.020313931696979034,5.445163882000458,38000,2,0.05,-104.87069440752894,0.036988594906123134
7.772643684510871,0.11954137019616698,0.28636308397280863,0.02442037972413113,5.444032605541159,38000,2,0.05,-104.89275206488591,0.024644325906480496
7.993003684844752,0.12102922462813369,0.27931762582523156,0.014467469055823093,5.32411497561903,38000,2,0.05,-104.89978291182595,0.027141389164598906
7.480096173576474,0.11415098696631505,0.29829429673281105,0.0266576870760612,5.2634922094581675,38000,2,0.05,-104.89997238120976,0.03523076376809595
6.18247550620758,0.09654142625537931,0.36182123491188883,0.07283002885454903,5.604101298224226,38000,2,0.05,-104.90895140698687,0.01421900370089857
7.262795974419985,0.11318145116561261,0.30707407060680025,0.04366748164081786,4.824783724296958,38000,2,0.05,-104.90935844778105,0.024496501852626022
7.491649034982205,0.1154937542767048,0.29817888303876466,0.04265317343106856,5.6030283928648315,38000,2,0.05,-104.91164858176165,0.014865996445291364
7.430250879666053,0.11269453604024521,0.3005140709545251,0.052711759710831106,6.573337383898503,38000,2,0.05,-104.91766688748667,0.02364987399568295
7.721629269361718,0.12404890109563922,0.28710829396405496,0.020016160888205202,6.713501754765193,38000,2,0.05,-104.91776542521363,0.014434770237816528
7.8801584039746695,0.12199536673922531,0.28092957599395824,0.02266594652120654,5.478454892969018,38000,2,0.05,-104.92284441735838,0.03763592788264589
