Beta,mu_IR,rho,eta,N,sigma,psi,loglik,loglik.se
5.903327553914988,2,0.0884470603124851,0.38019855286671084,38000,0.022649681097050768,5.662958739933697,-104.04236547726971,0.007351481406236872
5.69198182208809,2,0.08727426858969096,0.3908283933914574,38000,0.038829645322342767,5.157753597975948,-104.04830902875408,0.0068915939622519965
5.880777685396602,2,0.09212929286966438,0.37764685730508213,38000,0.023668900731757144,5.548939228320939,-104.04959752848555,0.004723310473758459
5.749726498506903,2,0.08929474206445787,0.3878577208562789,38000,0.03525387550587743,5.725292532064451,-104.05942616415881,0.006725399037453339
6.032153508545068,2,0.09298680497986056,0.36642431422045796,38000,0.01707729103351678,5.1936173973574835,-104.07142259053033,0.007793174862135612
5.840426932018704,2,0.08890505151236118,0.38403642583965003,38000,0.026360315960252408,5.017496658913156,-104.07495537980681,0.004200387679858223
6.0965183701761765,2,0.09113304543343181,0.3685446600389992,38000,0.007133029554945364,5.683160798798267,-104.08155379221374,0.006506918971224307
6.0042760328668745,2,0.09184446976056013,0.37102642704141503,38000,0.037897874511267464,5.955448994525153,-104.10417491493064,0.009544390858943593
5.915738054479089,2,0.09032482788022121,0.378353035114841,38000,0.038134509451912935,5.300292582644502,-104.10796256827406,0.007235813196226836
5.608514953014372,2,0.08852291339169387,0.397149213159961,38000,0.050288534904017745,5.927593345531389,-104.11081842590035,0.00693228126393636
6.244652617831126,2,0.09470362003696518,0.35671990551988636,38000,0.022977110427486753,5.726219509198833,-104.11763779232153,0.0067433755182181665
6.246532683499651,2,0.09249982021002509,0.3604437985492931,38000,0.007842588184157137,5.713334681907006,-104.12438093419426,0.008242837673587073
6.123229646822884,2,0.09567074514652489,0.3629678629075497,38000,0.016059371227780096,5.023010555313031,-104.12453375825402,0.0038231339608597284
6.072378534327573,2,0.09088384066996813,0.3704242091775092,38000,0.014039564861629434,5.187612716427088,-104.12696491127299,0.006861563966274329
6.25064007485905,2,0.09338154964345141,0.3588903350599552,38000,0.012202587743028256,5.284428049497355,-104.13028276709348,0.006253607090106705
5.796338085423912,2,0.09020611807204675,0.38701810193515024,38000,0.03283528772472728,5.132640205734488,-104.13660214889453,0.010235857569540468
5.79537098804041,2,0.08681684309296074,0.38547160409162046,38000,0.0552145483362359,5.90766055733988,-104.14076191649568,0.00927916326466701
6.064129725801977,2,0.09173145209805021,0.36685978963223664,38000,0.031704193290541166,4.947477859701624,-104.14656022801287,0.008656578447548796
6.031890912659956,2,0.09198381483751415,0.3673179727733165,38000,0.036579589057580617,5.16813888232389,-104.15043635758892,0.00902629980955435
6.036048405044489,2,0.09681732487521487,0.3653292225244436,38000,0.01639366786289765,4.915346276003187,-104.15137018949898,0.006812768924002262
6.280224742692682,2,0.0980076721700369,0.3524738211799857,38000,0.021115970299028914,5.613074921482945,-104.15471084465675,0.005928721589848661
6.27613410626519,2,0.09816895122390235,0.353711137433733,38000,0.01821121623058736,5.670344351297763,-104.15619901947704,0.007521388451446046
